名称,名称(英語),カテゴリ,カテゴリ補足,ジャンル,ジャンル,ジャンル,ジャンル,季節,場所,郵便番号,都道府県名,市区町村名,行政区名,住所,住所(かな),緯度,経度,説明(日本語),説明(英語),電話番号,FAX番号,営業時間,開所時刻,閉所時刻,定休日,利用料金,画像URL,画像URL,画像URL,サムネイル画像URL,ホームページアドレス,創設日,創設者,所在地（基本、名称と同じもの）,名称(中国語簡体字),説明(中国語簡体字),名称(中国語繁体字),説明(中国語繁体字),名称(韓国語),説明(韓国語),名称(ポルトガル語),説明(ポルトガル語),標準地域コード
證誠寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市横越町13-43,"",35.945889,136.203644,親鸞配流の途中、山元の庄（水落町）に立ち寄り、草庵にて念仏説法をされました。これに帰依した信者の願いにより、上人自ら像を刻んで子の善鸞(ぜんらん)に与えて山元の庄へ遣わせました。その長男浄如(じょうにょ)が寺を建立し、山元山證誠寺が誕生しました。,"",0778-51-0636,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_003.jpg,"","","","","","",證誠寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
萬慶寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市深江町6-14,"",35.94178,136.184986,曹洞宗大本山永平寺の直末寺で鯖江藩主・間部公の菩提寺。本堂の天井には、７代藩主間部詮勝（あきかつ）の筆による天井墨絵「風神」「龍神」「雷神」は有名で指定文化財にもなっています。,"",0778-51-0481,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_004.jpg,"","","","","","",萬慶寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
中道院,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市長泉寺町2-7-7,"",35.955959,136.185286,中道院で行われる「すりばちやいと」とは、元三大師が悪病に苦しむ庶民を助けようと始めた加持秘法で、頭にかぶる護摩炉がすりばちに似ていることからこう呼ばれています。頭痛など諸病に効果があり、最近では頭がよくなると受験生の参拝も目立ちます。毎年２月２０日・３月２日,"",0778-51-1870,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_005.jpg,"","","","","","",中道院,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
松阜神社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市旭町1丁目2-14,"",35.944299,136.187897,もとは鯖江藩邸内にあって、間部詮房（まなべあきふさ）、詮言（あきとき）を祀っていた受福堂が萬慶寺に移されたのを、明治に入り現在の地に移し、７代詮勝（あきかつ）も祭神に加えたものです。舟津神社の祭神大彦命（おおひこのみこと）らの神々を合祀して、名を松阜神社と改めました。本殿右方に移築された受福堂御門が現存し、鯖江市指定文化財となっています。,"",0778-53-0523,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_006.jpg,"","","","","","",松阜神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
弁天堂,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市旭町2丁目1-2-19-1,"",35.945845,136.187917,旭町2丁目にひっそりと遺るこのお堂には、弘法大師が作られた３体の霊像の一つである弁財天が安置されています。もとは、江戸幕府将軍家の宝物だったのを６代将軍徳川家宣(いえのぶ)から間部詮房が拝領したものです。弁天様は琵琶をたずさえた美しい天女姿で、音楽や福徳財宝の神として信仰されています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_007.jpg,"","","","","","",弁天堂,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
舟津神社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市舟津町1丁目3-5,"",35.938675,136.186221,崇神天皇の時代（紀元前1世紀）、北陸地方平定のため大彦命（おおひこのみこと）が派遣され、鯖江の王山に陣を置き、賊を平定しました。当時沼地だった鯖江の平野部一帯で、命が舟を着けたところを舟津と言ったことから、134年大彦命を祀って「舟津神社」と名付けられました。延喜式神名帳には「丹津神社」と記述があり、北陸随一の古社として古来より敬われてきました。文政元年の建築とされる本殿と赤鳥居は福井県指定文化財です。,"",0778-51-0966,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_008.jpg,"","","","","","",舟津神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
神明社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市水落町81-1,"",35.971034,136.182531,5世紀半ば伊勢神宮天照(あまてらす)大神(おおみかみ)を祀って文殊山南麓に創建されていたのを1129年烏ヶ森(からすがもり)に遷宮(せんぐう)しました。約5万坪の広大な敷地を持ち、歴代の領主の保護を受け、江戸時代には特に栄えて盛大なお祭りは越前第一と言われました。神明社の社叢林(しゃそうりん)、烏ヶ森は原生林に近い自然林で古くから聖域として大切にされてきた一方、この一帯は江戸時代までは物騒な所でもありました。昭和27年境内公園に整備されています。森は天然記念物として鯖江市の指定文化財です,"",0778-51-2700,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_009.jpg,"","","","","","",神明社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
長久寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市神明町4丁目1-7,"",35.977863,136.186777,"初代福井藩主結城(ゆうき)秀康(ひでやす)が鳥羽野(とばの)開発に着手しましたが志し半ばで亡くなった後、2代松平忠直(ただなお)が引継ぎました。神明社を東へ、下河端を北へ行き麻生津へ抜ける北陸道を整備し、周囲８ヶ村の領民を街道筋に移住させました。この事業にあたり、移住者への行き届いた心配りをしたことや街道沿いが賑わったことから領民は藩主忠直に大変感謝しました。しかしその忠直が幕府の怒りに触れ、九州へ配流処分となったため、藩主をお慰めしようと建てた寺が長久寺です。「長久」の名は開拓事業に尽力した奉行渡辺牛兵衛長久にちなんでつけました。また寺内には家康公、秀康公、忠直公の木像が祀ってあります。山号も２人の「康」をとって「二康山」と名乗っています。 
境内に忠直卿のお墓があります。29歳の時流された忠直は豊後(ぶんご)の地で56歳の生涯を閉じました。３回忌に８ヶ村の代表者が大分に赴き、元藩主愛用の聖観音と土を持ち帰りお墓をたてました。忠直は領民に名君と慕われていたのです。","","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_010.jpg,"","","","","","",長久寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
西光寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市杉本町31-42-1,"",35.982717,136.170424,西光寺は本願寺第７代法主存如(そんにょ)（蓮如の父）の創建による古刹(こさつ)で、真宗北陸布教の足掛かりとなったお寺です。一時は相当な数の門徒をかかえ、勢力をふるっていましたが、織田信長の軍勢に敗れ、寺も焼き討ちにあいました。その後石田から現在の地に移って再興され今に至っています。,"",0778-51-1539,"","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_011.jpg,"","","","","","",西光寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
春慶寺,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市米岡町5-1,"",35.989717,136.176678,創建は奈良時代。泰澄大師が修行中に草庵を結んだ「心敬時（しんけいじ）」が前身です。吉江藩成立後に、春慶寺という寺号になりました。近松門左衛門が幼少時代この寺の一隅を借りて住んでいたと言われています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_012.jpg,"","","","","","",春慶寺,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
漆器神社（八幡神社）,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市片山町,"",35.949013,136.276161,八幡神社（片山町）、敷山神社（河和田町）の境内には漆器神社があります。八幡神社には、漆器工芸がすべて手作りで行われていた当時の全工程の道具が保存されています。眺めのよい立地で、うるしの里を一望できます。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_013.jpg,"","","","","","",漆器神社（八幡神社）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
漆器神社（敷山神社）,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市河和田町15-7,"",35.951721,136.269906,敷山神社は式内社であり、古くからのお宮さんです。河和田川を挟んで逆方向の西北の山腹にあります。うっそうとした繁みの中を曲折した石段が続きます。本殿まで登りきると、河和田の街並みが一望できます。漆器神社は本殿への石段を上がる前の右手に十数段上がったところにあります。見事な漆の天井絵は、普段は非公開ですが、見学をご希望の方はうるしの里会館まで、お問い合わせ下さい。（電話　0778-65-2727）,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_014.jpg,"","","","","","",漆器神社（敷山神社）,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
加多志波（かたしば）神社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市川島町27-22,"",35.945323,136.225489,加多志波神社は、川島町三里山麓の杉小立の中にある氏神様です。この加多志波神社には３つの面があります。木造の鎌倉後期の作といわれており、父鬼・母鬼・子鬼の３面とも国の重要文化財に指定されています。毎年2月11日には、餅をまいて厄を払う神事「おこない」が加多志波神社境内で催されます。また一年でこの日に限って、宝物庫の扉が開かれ、3面の追儺面の見学が許されます。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_015.jpg,"","","","","","",加多志波神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
春日大社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市鳥井町12-31-1,"",35.944456,136.167699,慶長18年（1613）に建築された三間社流造柿葺の建物です。大彦命の建立と伝えられ、本殿は国指定重要文化財です。覆屋が架けられていたため、建物の保存が良い。また、市指定文化財の狛犬や鯖江藩士の弓術・砲術の献額があります。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_016.jpg,"","","","","","",春日大社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
中野神社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市中野町182-1,"",35.946589,136.213805,鯖江市南東部に位置した中野区の総社。三里山の中の杉林の山道や苔むした石畳階段は荘厳で神聖な空間が広がっています。また、朱の鳥居や社の建築装飾も見事ごとです。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_017.jpg,"","","","","","",中野神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
日吉神社,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市上野田町5-41,"",35.941832,136.149353,鯖江の南西部にあります。境内の相生の大杉や池がすばらしく、鎮守の森として荘厳な雰囲気があり、鯖江百景のひとつに選ばれています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_018.jpg,"","","","","","",日吉神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
劔神社（下新庄町）,"",観光,神社仏閣,観る,"","","","","","","","","",鯖江市下新庄町60-71,"",35.936486,136.212657,境内入口には2つの鳥居、150ｍ以上の奥行きがある石畳の参道を進むと奥には庭園があります。境内は手入れが行き届き、静寂で荘厳な雰囲気の神社です。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/temples_019.jpg,"","","","","","",劔神社,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
刀那の滝,"",観光,自然,観る,"","","","","","","","","",鯖江市上戸口町,"",35.97163317,136.2645435,刀那（とな）の滝は、まぼろしの村三峯をめざす山道の途中にあります。大正14年の滝開き以来、たくさんの人に安らぎを与えてきました。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/nature_001.jpg,"","","","","","",刀那の滝,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
きらめきロード中河,"",観光,自然,観る,"","","","","","","","","",鯖江市中野町,"",35.95254,136.207561,鯖江市の東部を流れる浅水川の堤防沿いの通り。桜並木と地域の人が植えた水仙が美しい花を咲かせます。4月上旬〜中旬の頃が特に美しい景観となり、鯖江百景のひとつです。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/nature_002.jpg,"","","","","","",きらめきロード中河,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
榎お清水,"",観光,自然,観る,"","","","","","","","","",鯖江市米岡町,"",35.98941,136.177551,春慶寺山麓にあるお清水です。千古の昔より湧き出ており、近松時代の頃は吉江藩のお泉水として利用されていました。旅人はお不動様に手を合わせ、このお清水で喉をうるおしたといわれています。前には近松の浄瑠璃をイメージした公園があります。このあたりは平成19年度より整備が進められ、平成22年に美しく完成しました。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/nature_003.jpg,"","","","","","",榎お清水,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
桃源清水,"",観光,自然,観る,"","","","","","","","","",鯖江市上河内町,"",35.943402,136.318862,ラポーゼかわだより南東へ約２ｋｍ。継体大王が水源を求めて訪れたと伝わるこの谷の清水は、昔から飲料水として住民に利用されてきました。平成16年の福井豪雨により甚大な被害を受けましたが、多くの方の支援により美しく復興し、現在は市民の憩いの場として親しまれています。平成20年に「ふくいのおいしい水」に認定されました。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/nature_004.jpg,"","","","","","",桃源清水,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
三場坂清水,"",観光,自然,観る,"","","","","","","","","",鯖江市上河内町35-22-1,"",35.949094,136.312403,ラポーゼかわだより東へ約1.3ｋｍ。山道を300ｍほど登ると水場があります。岩清水とも呼ばれるように岩から湧き出る清水で、水質もよく、古くから地域住民の飲料水として用いられてきました。平成20年「ふくいのおいしい水」に認定されました。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/nature_005.jpg,"","","","","","",三場坂清水,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
福鉄鉄橋,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市長泉寺町2丁目,"",35.95571,136.185867,福井鉄道福武線の市道に架かる鉄橋橋で、大正13年ごろの建築です。無骨な橋脚と、元山大師が開いた「すりばちやいと」のお寺、中道院の杉の大木が絶妙のコントラストです。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_001.jpg,"","","","","","",福鉄鉄橋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
弁天橋,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市吉江町,"",35.989189,136.171316,鯖江市北部を東西に流れる浅水川の改修により架けられた橋で、朱色の高欄が美しい。また、近松門左衛門が住んでいたことをモチーフに高欄が造られています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_002.jpg,"","","","","","",弁天橋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
地蔵橋,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市本町4丁目3-19,"",35.950067,136.185611,天正年間に織田と朝倉の戦いで、橋を壊して長泉寺を守ろうとする朝倉勢に対し、織田勢は路傍にあった石地蔵を川に投げ込んで埋め、その上を踏み越えて進軍した。後年、長泉寺の僧が、「我が体を踏ませて、通る衆生に功徳を与えん」と夢のお告げを受け、谷底から引き上げて旧北陸道の小川の橋にしました。実際に、このお地蔵さんの磨り減った様子から、多くの人馬がこの上を通行したことが偲ばれます。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_003.jpg,"","","","","","",地蔵橋,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
王山古墳群,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市日の出町,"",35.939546,136.18517,王山は標高62mの小山で、弥生時代から古墳時代の古墳約50基が散在しています。中でももっとも古いのは、弥生時代後期（3世紀）のもので、墳丘墓（方形周溝墓）になっており、その規模は一辺が8〜12ｍ、高さ１〜２ｍあります。集溝からは、東海や近畿地方の影響をうけた土器が出土しており、葬祭儀礼に関したものと思われます。また、古墳群のあたりは、史跡公園として整備され、野鳥の声を聞きながら心静かに散策できるスポットになっています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_004.jpg,"","","","","","",王山古墳群,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
兜山古墳,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市神明町2丁目,"",35.974425,136.183393,兜山古墳は、北陸最大級の円墳で、一重ねの鏡餅のような姿をしています。雑木で覆われた古墳の頂上には、「八幡神社」が鎮座し古墳全体がその境内になっています。築造年代はその巨大さからみて、4〜5世紀と思われます。昭和52年国の指定史跡となりました。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_005.jpg,"","","","","","",兜山古墳,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
旧瓜生家住宅,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市水落町4丁目81-1-1,"",35.971034,136.182531,神明社の中にある元禄年間に建てられた県内最古の民家で、800年以上も神明社の宮司を務めてきた瓜生家の住宅跡です。現存する民家としては福井県内最古建造物として全国的に有名で、国の指定文化財になっています。また、神明社の社叢森は「烏ヶ森（からすがもり）」と呼ばれ、巨木や古木に覆われており、まるで昔へタイムスリップしたような空間が広がります。,"",0778-51-5999（鯖江市教育委員会）,"",10:00〜16:00,10:00:00,16:00:00,年中無休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_006.jpg,"","","","","","",旧瓜生家住宅,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
恵美写真館洋館・表門,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市本町3丁目1-28,"",35.946549,136.186237,明治38年建設の擬洋風建築物で、洋館は木造寄棟造瓦葺の２階建てで、前面中央に入母屋造桟瓦葺の2層車寄せを設けています。表門はアーチ上屋根に銅板を葺き、和風（薬医門形式）の門構えをしています。和風に洋風をうまく取り入れた見事な建築物で、外観に施された擬似大理石手法や鳳凰の漆喰模様などに優れた左官技術がうかがえます。平成10年に国の登録有形文化財に指定されました。,"",0778-51-0160,"","","","",不定休,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_007.jpg,"","","","","","",恵美写真館洋館,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
植田家長屋門,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市旭町1丁目5-6,"",35.952655,136.248632,植田家は、代々鯖江藩家老の家柄でした。長屋門というのは、門を兼ねた一つ屋根の横に長い門のことで、門をはさんで両脇にいくつかの部屋があるものです。植田家には、この長屋門が現存しており、旧藩時代の数少ない遺構の一つとして鯖江市文化財に指定されています。,"","","","","","","","",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_008.jpg,"","","","","","",植田家長屋門,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
近藤醤油店,"",観光,歴史・文化,観る,"","","","","","","","","",鯖江市水落町3丁目,"",35.967001,136.183044,鯖江市水落町3丁目付近は、旧北陸街道の風情が感じられる建物が多く残っています。その中でもこの建物は、特に趣が感じられます。鯖江百景のひとつです。,"","","","","","",月曜日、祝日(月曜日が祝日の場合は翌日）,"",https://www.city.sabae.fukui.jp/xml/sabakan/simage/history_009.jpg,"","","","","","",近藤醤油店,"","","","","","","","",http://statdb.nstac.go.jp/lod/sac/C18207
